Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82795;11/02/2008;1200;25.2;22.4;78;952.1;14;4.5;8;
82795;11/02/2008;1800;31.1;23;50;949;14;6.1;4;
82795;12/02/2008;0000;23.6;22.6;91;951.9;9;5;7;
82795;12/02/2008;1200;24.9;22.7;83;952.5;14;4.6;9;
82795;12/02/2008;1800;29.2;22.6;58;949.3;14;3.5;7;
82795;13/02/2008;0000;23.9;22.6;90;951.6;14;3.8;3;
82795;13/02/2008;1200;25.3;22.7;80;952;14;4.3;8;
82795;13/02/2008;1800;30.8;22.8;52;948.8;14;5.1;3;
82795;14/02/2008;0000;24.2;22.5;86;951.4;9;4.8;7;
82795;14/02/2008;1200;25.7;22;72;951.6;14;3.8;6;
82795;14/02/2008;1800;30.6;23.1;54;949.1;14;3.3;9;
82795;15/02/2008;0000;24.1;22.6;87;951.1;14;5;8;
82795;15/02/2008;1200;25.3;22.9;81;951.2;14;3;8;
82795;15/02/2008;1800;30.7;23.7;57;948.1;14;3.5;7;
82795;16/02/2008;0000;24.1;21.9;82;950.3;14;3.3;6;
82795;16/02/2008;1200;23.9;22.7;91;951.1;14;3.5;8;
82795;16/02/2008;1800;22.6;22.3;96;948.6;9;4.5;9;
82795;17/02/2008;0000;22.9;22.5;97;950.9;14;3.3;9;
82795;17/02/2008;1200;24;22.4;88;952.2;18;4.6;10;
82795;17/02/2008;1800;28.9;22.9;60;949.9;14;4.6;10;
82795;18/02/2008;0000;23.5;22.6;93;952.8;9;4.1;10;
82795;18/02/2008;1200;25.8;22.8;77;953.2;14;4.5;7;
82795;18/02/2008;1800;31.3;22.7;48;951;14;3.3;6;
82795;19/02/2008;0000;24.2;22.9;89;953.4;9;5;7;
82795;19/02/2008;1200;25.4;22.6;79;953.5;14;3.8;8;
82795;19/02/2008;1800;31.3;23.1;50;950.2;14;5;7;
82795;20/02/2008;0000;23.5;22.3;91;952.8;14;2.8;4;
82795;20/02/2008;1200;25.3;22.7;80;951.8;5;2.8;7;
82795;20/02/2008;1800;31.4;23.1;50;948.4;14;4.5;4;
82795;21/02/2008;0000;24.1;22.3;85;951;9;4;8;
82795;21/02/2008;1200;25.9;23.4;81;952.4;14;3.8;8;
82795;21/02/2008;1800;32.3;23;46;949;14;3.3;6;
82795;22/02/2008;0000;23.8;21.8;84;952.1;9;6.3;7;
82795;22/02/2008;1200;25.2;22.7;80;954.5;14;2.6;6;
82795;22/02/2008;1800;32.2;23.3;48;950.7;14;3.1;4;
82795;23/02/2008;0000;23.1;21.7;87;953;9;5.8;7;
82795;23/02/2008;1200;26;22.6;75;954.8;14;2.6;5;
82795;23/02/2008;1800;31.9;24;52;951;14;3.3;5;
82795;24/02/2008;0000;23.6;22.6;91;952.8;14;4.5;3;
82795;24/02/2008;1200;26.3;23.5;78;954.2;14;2.5;3;
82795;24/02/2008;1800;33.1;24.1;48;950.3;5;2.3;2;
82795;25/02/2008;0000;23.9;22.9;92;952;14;3.3;2;
82795;25/02/2008;1200;26.9;23.6;75;952.7;14;3.1;5;
82795;25/02/2008;1800;31.9;24;52;948.6;14;3.1;6;
82795;26/02/2008;0000;24.3;23.5;94;950.9;9;3.8;7;
82795;26/02/2008;1200;26.7;23.8;80;951.4;9;2.5;6;
82795;26/02/2008;1800;33.1;24;48;947.7;14;3.3;4;
82795;27/02/2008;0000;25;23.9;92;951.6;5;3.5;8;
82795;27/02/2008;1200;25.5;23.4;85;952.2;36;1.5;8;
82795;27/02/2008;1800;32.1;24.3;53;948.4;14;3.1;8;
82795;28/02/2008;0000;25.6;23.6;83;951.3;9;3.3;9;
82795;28/02/2008;1200;27.1;23.9;77;951.8;5;3.1;8;
82795;28/02/2008;1800;31.8;24.4;54;947.9;5;4.6;8;
82795;29/02/2008;0000;25.2;23.6;87;951.1;9;3.8;8;
82795;29/02/2008;1200;26.3;24.2;83;951.8;9;2.5;10;
82795;29/02/2008;1800;30.4;24;59;948.4;9;5;9;
82795;01/03/2008;0000;24.8;23.8;92;950.9;9;3.3;10;
82795;01/03/2008;1200;25.1;23.4;85;951.3;14;3.8;6;
82795;01/03/2008;1800;31.5;23.9;54;947.2;9;3.5;3;
82795;02/03/2008;0000;24.6;22.6;83;950.5;9;3;0;
82795;02/03/2008;1200;25;23;85;951.5;9;3.5;7;
82795;02/03/2008;1800;31.5;23.8;54;947.6;9;5.1;5;
82795;03/03/2008;0000;24.3;22.3;84;950.7;9;3.6;0;
82795;03/03/2008;1200;26.6;23.3;76;951.7;14;2.3;6;
82795;03/03/2008;1800;32.4;23.8;50;948.1;14;3.3;6;
82795;04/03/2008;0000;24.7;23.4;89;951.8;9;5;0;
82795;04/03/2008;1200;26.6;23.8;80;951.3;14;1.5;2;
82795;04/03/2008;1800;33.9;24.7;48;947.8;14;3.8;6;
82795;05/03/2008;0000;24.9;23.9;93;950.9;9;5.1;4;
82795;05/03/2008;1200;26.4;23.4;78;951.9;14;3.1;5;
82795;05/03/2008;1800;32.8;23;43;947;14;3;7;
82795;06/03/2008;0000;24.6;23.8;92;949.8;9;5.3;5;
82795;06/03/2008;1200;26.4;23.2;76;950.4;14;2.6;5;
82795;06/03/2008;1800;33.2;23.4;45;946.2;14;3;5;
82795;07/03/2008;0000;24.5;23.4;92;949.3;9;5;5;
82795;07/03/2008;1200;26.3;22.8;74;952;14;2.6;6;
82795;07/03/2008;1800;32.5;23.5;46;949.5;14;4.1;4;
82795;08/03/2008;0000;24.8;22.7;84;951.5;9;4;6;
82795;08/03/2008;1200;25.8;23.3;81;952.4;14;4.6;8;
82795;08/03/2008;1800;25.1;23.3;85;950.4;9;4.5;9;
82795;09/03/2008;0000;23.4;22.8;95;952.1;9;3.8;8;
82795;09/03/2008;1200;25;23.2;87;953.3;14;3;8;
82795;09/03/2008;1800;30.9;23.3;52;949.3;14;3.8;7;
82795;10/03/2008;0000;24.3;21.1;75;951.7;9;4.5;0;
82795;10/03/2008;1200;26.5;23.3;77;952.3;14;2.6;6;
82795;10/03/2008;1800;32.2;24.8;55;949;14;4.6;6;
82795;11/03/2008;0000;24.6;22.5;83;951.2;9;4.3;4;
82795;11/03/2008;1200;26.6;23.6;78;951.9;14;3.6;8;
82795;11/03/2008;1800;29.3;24.3;68;948.4;14;5.3;7;
82795;12/03/2008;0000;24.4;23.6;94;950.9;9;4.8;5;
82795;12/03/2008;1200;24.1;23.9;97;952.1;14;2.8;8;
82795;12/03/2008;1800;28.2;24;70;950.3;14;1.3;8;
82795;13/03/2008;0000;23.6;23.4;97;952.1;9;2.5;9;
82795;13/03/2008;1200;25.8;23.4;81;952.6;14;2.8;4;
82795;13/03/2008;1800;32.2;23.2;47;949.5;14;2.6;3;
82795;14/03/2008;0000;24.3;22.9;89;951.4;9;4.5;7;
82795;14/03/2008;1200;26.2;24.3;84;951.1;9;2;4;
82795;14/03/2008;1800;33.1;24.7;51;947.2;14;3.1;6;
