Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82792;13/02/2008;1800;31.7;21.6;40;941.8;9;2.6;10;
82792;14/02/2008;0000;26.6;21.4;64;943.9;9;5;3;
82792;14/02/2008;1200;26.5;20.8;60;945;14;2.5;3;
82792;14/02/2008;1800;32.1;22.9;46;941.6;8;2.3;10;
82792;15/02/2008;0000;25.7;20.4;62;944;9;3.3;10;
82792;15/02/2008;1200;25.2;20.6;66;944.7;9;4.3;10;
82792;15/02/2008;1800;31.8;22.8;46;940.4;18;3;10;
82792;16/02/2008;0000;25.3;21.6;72;943.1;9;2.3;10;
82792;16/02/2008;1200;23.2;20.7;79;945.4;9;2.1;10;
82792;16/02/2008;1800;29.2;22.2;56;941.8;32;3;8;
82792;17/02/2008;0000;22;21.2;93;944.1;18;1.8;10;
82792;17/02/2008;1200;24.4;21.4;77;945.8;9;4.6;7;
82792;17/02/2008;1800;28.8;20.8;48;943.7;5;3;10;
82792;18/02/2008;0000;25.2;20.6;66;945.3;9;3.1;10;
82792;18/02/2008;1200;22.4;21.2;90;947.2;14;1.6;8;
82792;18/02/2008;1800;31.8;24;52;943.5;18;3.1;6;
82792;19/02/2008;0000;26.2;21.5;65;945.9;9;4;2;
82792;19/02/2008;1200;25.4;21.4;71;946.9;9;1.5;4;
82792;19/02/2008;1800;31.8;22.2;43;942.9;9;2.1;7;
82792;20/02/2008;0000;27.6;21.2;57;943.7;9;3.8;0;
82792;20/02/2008;1200;25;21;71;945.6;9;2.6;2;
82792;20/02/2008;1800;33;21;34;941.1;14;3.6;4;
82792;21/02/2008;0000;28;21.4;55;942.3;9;1.5;3;
82792;21/02/2008;1200;25.2;20.4;65;946;9;3.3;8;
82792;21/02/2008;1800;33.2;22;38;941.8;18;3.3;10;
82792;22/02/2008;0000;28;21.8;57;944.7;9;3.3;2;
82792;22/02/2008;1200;26;21.2;66;947.4;9;3.1;6;
82792;22/02/2008;1800;32.4;21.8;40;943.3;18;3.1;9;
82792;23/02/2008;0000;28.8;21.8;54;945.5;9;2;10;
82792;23/02/2008;1200;26;21;65;947.8;9;3.3;3;
82792;23/02/2008;1800;33.8;21.6;34;943.3;18;1.6;9;
82792;24/02/2008;0000;27.2;21.6;62;946.1;9;6.8;8;
82792;24/02/2008;1200;25.4;20.4;64;947.4;5;4.8;6;
82792;24/02/2008;1800;32.8;23.2;44;942.9;9;1.3;7;
82792;25/02/2008;0000;27.2;22;64;944.6;27;1.8;10;
82792;25/02/2008;1200;26.9;21.8;64;945.9;9;4;2;
82792;25/02/2008;1800;32.4;22.8;45;941.6;5;2;8;
82792;26/02/2008;0000;24.2;22;82;944.9;9;3.5;10;
82792;26/02/2008;1200;24.6;21.5;75;945.3;5;3;10;
82792;26/02/2008;1800;30.6;22.6;51;941.5;27;1.8;10;
82792;27/02/2008;0000;25.4;23.2;83;944.2;18;1.3;10;
82792;27/02/2008;1200;21.4;20.7;93;946.2;27;2.3;10;
82792;27/02/2008;1800;26.5;23;75;943;23;1.3;10;
82792;28/02/2008;0000;23.4;22.6;94;944.4;27;0;10;
82792;28/02/2008;1200;25.1;22.1;76;945.6;5;3.6;9;
82792;28/02/2008;1800;30.5;23.3;55;941.2;27;2.5;10;
82792;29/02/2008;0000;22.3;21.2;90;944.6;9;2;10;
82792;29/02/2008;1200;24.6;22;79;945.6;5;3.3;9;
82792;29/02/2008;1800;26.6;21.6;65;940.8;9;7.5;10;
82792;01/03/2008;0000;22.6;20.8;84;944.8;18;2.5;10;
82792;01/03/2008;1200;24.4;22.2;83;945;9;3.1;8;
82792;01/03/2008;1800;30.4;22.1;49;940.9;5;3.3;5;
82792;02/03/2008;0000;25.8;21.5;69;942.7;9;2.5;0;
82792;02/03/2008;1200;24.2;21.2;76;944.6;5;2;10;
82792;02/03/2008;1800;31;22;45;941.6;9;3.5;6;
82792;03/03/2008;0000;26.4;20.2;57;942.3;9;1.8;0;
82792;03/03/2008;1200;25.2;20.8;67;945.6;9;3.3;2;
82792;03/03/2008;1800;31.2;22.7;48;941.6;9;3;5;
82792;04/03/2008;0000;26.8;21.6;63;944.5;9;3.3;0;
82792;04/03/2008;1200;25.4;22.2;76;944.6;9;1;0;
82792;04/03/2008;1800;32.4;23.4;48;940.6;14;1.5;5;
82792;05/03/2008;0000;28.6;22.5;61;942.4;9;4.1;10;
82792;05/03/2008;1200;26.2;22.2;70;944.1;9;2.6;10;
82792;05/03/2008;1800;31;22.8;49;940.3;27;2.8;10;
82792;06/03/2008;0000;26.8;23.8;77;941.1;0;0;3;
82792;06/03/2008;1200;25.6;21.2;67;943.6;5;2;3;
82792;06/03/2008;1800;31.8;22;42;939.6;9;1.6;5;
82792;07/03/2008;0000;27.8;22.4;64;941;9;3.1;0;
82792;07/03/2008;1200;25.2;20.8;67;944.9;9;4.1;6;
82792;07/03/2008;1800;32;21.2;38;941.9;18;1.8;3;
82792;08/03/2008;0000;28;21;53;942.4;9;3.6;0;
82792;08/03/2008;1200;25.2;20.8;67;945.3;9;3.8;7;
82792;08/03/2008;1800;30.4;22.4;50;942.5;18;1.5;8;
82792;09/03/2008;0000;28;21.2;54;944.2;9;0.8;5;
82792;09/03/2008;1200;25.4;21.8;73;945.8;9;3.3;8;
82792;09/03/2008;1800;28.2;23;64;942.7;5;3.1;8;
82792;10/03/2008;0000;24.2;22.4;85;943.7;18;0.3;0;
82792;10/03/2008;1200;25;21.6;75;945.5;14;2.1;5;
82792;10/03/2008;1800;31.4;22.2;46;942.4;14;2;6;
82792;11/03/2008;0000;25.4;22;75;943.7;9;2.1;0;
82792;11/03/2008;1200;25.8;22;72;945.4;14;2.1;4;
82792;11/03/2008;1800;32.1;23.3;48;941.3;18;1.6;4;
82792;12/03/2008;0000;24.5;21.6;79;944.1;9;3.6;8;
82792;12/03/2008;1200;26.1;22.8;77;945.8;18;1.1;8;
82792;12/03/2008;1800;27.2;23.2;72;943.4;5;4.5;10;
